,Unnamed: 0,date,open,high,low,close,trading_volume,trading_value,code
277438,10,2018-01-16,72700,74700,72700,74400,4383229,323575898300,000660
277439,11,2018-01-17,74400,75000,73700,74100,3256624,241695467200,000660
277440,12,2018-01-18,75800,76800,74600,75200,6199800,469683363660,000660
277441,13,2018-01-19,75300,75800,73000,73300,3898397,287884493200,000660
277442,14,2018-01-22,72800,72800,70700,71100,5610463,400294139180,000660
277443,15,2018-01-23,71800,72200,70900,71300,4671451,333271046210,000660
277444,16,2018-01-24,71600,73200,71500,72400,3802939,275481490400,000660
277445,17,2018-01-25,73400,76200,72300,75800,8758929,654080218300,000660
277446,18,2018-01-26,76400,76400,74200,75500,4296170,323615824500,000660
277447,19,2018-01-29,76500,77000,75000,75300,3618328,275120734900,000660
277448,20,2018-01-30,74300,74600,73100,73100,5443314,399864007380,000660
277449,21,2018-01-31,72200,74500,72200,73500,5800892,426240525400,000660
277450,22,2018-02-01,74900,75200,74000,74400,2987816,222343899000,000660
277451,23,2018-02-02,74500,74600,71800,72200,4343077,315331940400,000660
277452,24,2018-02-05,70200,70900,69800,70200,4058439,284978637300,000660
277453,25,2018-02-06,69100,71300,68200,70200,5679965,394125867200,000660
277454,26,2018-02-07,73700,73800,70800,71100,6007913,435868616630,000660
277455,27,2018-02-08,71900,74200,71600,73900,5586858,409329218800,000660
277456,28,2018-02-09,72100,74200,72000,73400,5118112,375781382000,000660
277457,29,2018-02-12,73700,74700,73400,74500,3317876,245892254810,000660
277458,30,2018-02-13,75900,77800,75800,77700,7814367,601761797400,000660
277459,31,2018-02-14,78400,79500,77000,77600,3943628,308915315800,000660
277460,32,2018-02-19,78900,79000,76100,76500,3350577,257926778200,000660
277461,33,2018-02-20,76400,76500,75200,75500,2507719,189790114600,000660
277462,34,2018-02-21,75800,77200,75800,76900,2653870,203359345800,000660
277463,35,2018-02-22,76100,77400,75700,75900,1879461,143485447500,000660
277464,36,2018-02-23,76100,77600,76000,77300,2404473,185510056900,000660
277465,37,2018-02-26,78300,78500,77200,77500,2327486,181117445600,000660
277466,38,2018-02-27,78700,79200,78400,78700,3395415,267744080900,000660
277467,39,2018-02-28,78600,79200,76600,76800,3102987,240630478000,000660
